date,strategy_nav,n_positions,cash,position_value,strategy_daily_ret,strategy_cum_ret,drawdown
2025-01-14,1.827164410948086,7,118.43861334803518,182598.00248146057,0.09474340881427157,0.827164410948086,-0.41152243994465915
2025-01-15,1.825064385294247,7,118.43861334803518,182387.99991607666,-0.0011493359006207182,0.825064385294247,-0.4121987983311404
2025-02-05,1.799365450129223,6,4642.549537153272,175293.99547576904,-0.014081111533432611,0.7993654501292231,-0.42047569261132534
2025-02-06,1.9058240799191,8,851.4124322176256,189730.99555969238,0.05916454035628593,0.9058240799191,-0.3861884033393795
2025-02-07,2.0780541152241234,8,851.4124322176256,206953.9990901947,0.09037037422275329,1.0780541152241234,-0.3307180196468935
2025-02-17,2.4643841194393636,8,851.4124322176256,245586.99951171875,0.18590950129014017,1.4643841194393636,-0.2062921404569701
2025-02-18,2.3788816680772307,7,1804.1722284078874,236083.9945793152,-0.0346952614601268,1.3788816680772307,-0.2338300421667731
2025-02-19,2.464931745038748,7,1804.1722284078874,244689.00227546692,0.036172491518280836,1.464931745038748,-0.20611576586548913
2025-02-20,2.452521769033194,7,1804.1722284078874,243448.0046749115,-0.005034612431168539,1.452521769033194,-0.21011266529957145
2025-02-27,2.7005017127854827,7,1804.1722284078874,268245.9990501404,0.10111222941358222,1.7005017127854827,-0.13024539590245876
2025-02-28,2.4682170176307445,7,1636.6992930579459,245185.00247001648,-0.08601538523563601,1.4682170176307445,-0.20505767323437685
2025-03-03,2.467081542983413,6,4363.150407350091,242345.0038909912,-0.00046003841607955565,1.4670815429834132,-0.20542337724325666
2025-03-04,2.4470466017110586,7,2742.6643310332574,241961.99584007263,-0.008120907608155759,1.4470466017110586,-0.21187606058426459
2025-03-05,2.559836635051513,7,2742.6643310332574,253240.99917411804,0.04609231114012613,1.559836635051513,-0.17554960675173262
2025-03-06,2.6213225844464065,8,1379.2554195857324,260753.00302505493,0.024019481771990536,1.6213225844464065,-0.15574673555919538
2025-03-07,2.4809651695642234,7,2713.518585298089,245382.99837112427,-0.05354450296006774,1.4809651695642234,-0.2009518569760929
2025-03-27,2.263795099978042,6,4254.512715775994,222124.9972820282,-0.08753450965388887,1.2637950999780418,-0.2708961443655411
2025-03-28,2.2056451990648034,6,4254.512715775994,216310.00719070435,-0.02568690996539502,1.2056451990648034,-0.28962456946064585
2025-03-31,2.16762516665895,6,4254.512715775994,212508.00395011902,-0.01723760123431184,1.1676251666589499,-0.30186973785893584
2025-04-01,2.155305188898635,6,4254.512715775994,211276.00617408752,-0.005683629231572396,1.1553051888986352,-0.30583765142428604
2025-04-02,2.1477651207490687,6,4254.512715775994,210521.99935913086,-0.0034983760946725173,1.1477651207490687,-0.308266092390365
