date,symbol,shares
2025-03-28,002156,100
2025-03-28,301377,100
2025-03-28,600601,100
2025-03-31,601777,2700
2025-03-31,000158,6500
2025-03-31,002261,1400
2025-03-31,002156,100
2025-03-31,301377,100
2025-03-31,600601,100
2025-04-01,601777,2700
2025-04-01,000158,6500
2025-04-01,002261,1400
2025-04-01,002156,100
2025-04-01,301377,100
2025-04-01,600601,100
2025-04-02,601777,2700
2025-04-02,000158,6500
2025-04-02,002261,1400
2025-04-02,002156,100
2025-04-02,301377,100
2025-04-02,600601,100
2025-05-06,601777,2700
2025-05-06,000158,6500
2025-05-06,002261,1400
2025-05-06,301377,100
2025-05-07,601777,2700
2025-05-07,000158,6500
2025-05-07,002261,1400
2025-05-07,301377,100
2025-05-07,002155,200
2025-05-26,601777,2700
2025-05-26,000158,6500
2025-05-26,002261,1400
2025-05-26,301377,100
2025-05-27,601777,2700
2025-05-27,000158,6500
2025-05-27,002261,1400
2025-05-27,301377,100
2025-05-28,601777,2700
2025-05-28,000158,6500
2025-05-28,002261,1400
2025-05-28,301377,100
2025-05-29,601777,2700
2025-05-29,000158,6500
2025-05-29,002261,1400
2025-05-29,301377,100
2025-05-29,300548,100
2025-06-23,601777,2700
2025-06-23,000158,6500
2025-06-23,002261,1400
2025-06-23,301377,100
2025-06-23,300548,100
2025-06-24,601777,2700
2025-06-24,000158,6500
2025-06-24,002261,1400
2025-06-24,301377,100
2025-06-24,300548,100
2025-07-14,601777,2700
2025-07-14,000158,6500
2025-07-14,002261,1400
2025-07-14,301377,100
2025-07-14,300548,100
2025-07-15,601777,2700
2025-07-15,000158,6500
2025-07-15,002261,1400
2025-07-15,301377,100
2025-07-15,300548,100
2025-07-28,000158,6500
2025-07-28,002261,1400
2025-07-28,301377,100
2025-07-28,300548,100
2025-07-29,000158,6500
2025-07-29,002261,1400
2025-07-29,301377,100
2025-07-29,300548,100
2025-07-29,000617,800
2025-07-29,002463,200
2025-07-31,000158,6500
2025-07-31,002261,1400
2025-07-31,301377,100
2025-07-31,300548,100
2025-07-31,002463,200
2025-08-01,000158,6500
2025-08-01,002261,1400
2025-08-01,301377,100
2025-08-01,300548,100
2025-08-01,002463,200
2025-08-07,000158,6500
2025-08-07,002261,1400
2025-08-07,301377,100
2025-08-07,300548,100
2025-08-08,000158,6500
2025-08-08,002261,1400
2025-08-08,301377,100
2025-08-08,300548,100
2025-08-08,600111,100
2025-08-08,600392,500
2025-08-11,000158,6500
2025-08-11,002261,1400
2025-08-11,301377,100
2025-08-11,300548,100
2025-08-11,600392,500
2025-08-12,000158,6500
2025-08-12,002261,1400
2025-08-12,301377,100
2025-08-12,300548,100
2025-08-12,001389,100
2025-08-12,002384,100
2025-08-13,000158,6500
2025-08-13,002261,1400
2025-08-13,301377,100
2025-08-13,300548,100
2025-08-13,001389,100
2025-08-13,002384,100
2025-08-14,000158,6500
2025-08-14,002261,1400
2025-08-14,301377,100
2025-08-14,300548,100
2025-08-14,002384,100
2025-08-14,002821,100
2025-08-15,000158,6500
2025-08-15,002261,1400
2025-08-15,301377,100
2025-08-15,300548,100
2025-08-15,002821,100
2025-08-18,000158,6500
2025-08-18,002261,1400
2025-08-18,301377,100
2025-08-18,300548,100
2025-08-18,002821,100
2025-08-19,000158,6500
2025-08-19,002261,1400
2025-08-19,301377,100
2025-08-19,300548,100
2025-08-19,688048,200
2025-08-25,000158,6500
2025-08-25,002261,1400
2025-08-25,301377,100
2025-08-25,300548,100
2025-08-25,688048,200
2025-08-26,000158,6500
2025-08-26,002261,1400
2025-08-26,301377,100
2025-08-26,300548,100
2025-08-26,002008,200
2025-08-26,002851,100
2025-08-28,000158,6500
2025-08-28,002261,1400
2025-08-28,301377,100
2025-08-28,300548,100
2025-08-28,002008,200
2025-08-28,002851,100
2025-08-29,000158,6500
2025-08-29,002261,1400
2025-08-29,301377,100
2025-08-29,300548,100
2025-08-29,002008,200
2025-08-29,002851,100
2025-08-29,688585,100
2025-09-05,000158,6500
2025-09-05,002261,1400
2025-09-05,301377,100
2025-09-05,300548,100
2025-09-05,002851,100
2025-09-08,000158,6500
2025-09-08,002261,1400
2025-09-08,301377,100
2025-09-08,300548,100
2025-09-08,001309,100
2025-09-09,000158,6500
2025-09-09,002261,1400
2025-09-09,301377,100
2025-09-09,300548,100
2025-09-09,002230,100
2025-09-09,600118,300
2025-09-09,601698,100
2025-09-10,000158,6500
2025-09-10,002261,1400
2025-09-10,301377,100
2025-09-10,300548,100
2025-09-10,600118,300
2025-09-11,000158,6500
2025-09-11,002261,1400
2025-09-11,301377,100
2025-09-11,300548,100
2025-09-11,600118,300
2025-09-11,002080,200
2025-09-12,000158,6500
2025-09-12,002261,1400
2025-09-12,301377,100
2025-09-12,300548,100
2025-09-12,600118,300
2025-09-12,002080,200
2025-09-12,000938,100
2025-09-22,000158,6500
2025-09-22,002261,1400
2025-09-22,301377,100
2025-09-22,300548,100
2025-09-22,002080,200
2025-09-22,000938,100
2025-09-23,000158,6500
2025-09-23,002261,1400
2025-09-23,301377,100
2025-09-23,300548,100
2025-09-23,002080,200
2025-09-23,000938,100
2025-09-23,002716,1100
2025-09-23,600105,200
2025-09-24,000158,6500
2025-09-24,002261,1400
2025-09-24,301377,100
2025-09-24,300548,100
2025-09-24,002080,200
2025-09-24,000938,100
2025-09-24,002716,1100
2025-09-24,600105,200
2025-09-24,688472,7200
2025-09-25,301377,100
2025-09-25,300548,100
2025-09-25,002080,200
2025-09-25,000938,100
2025-09-25,600105,200
2025-09-25,688472,7200
2025-09-26,301377,100
2025-09-26,300548,100
2025-09-26,000938,100
2025-09-26,600105,200
2025-09-26,688472,7200
2025-09-29,301377,100
2025-09-29,300548,100
2025-09-29,000938,100
2025-09-29,600105,200
2025-09-29,688472,7200
2025-09-30,301377,100
2025-09-30,300548,100
2025-09-30,000938,100
2025-09-30,600105,200
2025-09-30,688472,7200
2025-09-30,601689,1100
2025-10-09,301377,100
2025-10-09,300548,100
2025-10-09,000938,100
2025-10-09,600105,200
2025-10-09,688472,7200
2025-10-09,600601,7600
2025-10-10,301377,100
2025-10-10,300548,100
2025-10-10,000938,100
2025-10-10,600105,200
2025-10-10,688472,7200
2025-10-13,301377,100
2025-10-13,300548,100
2025-10-13,000938,100
2025-10-13,600105,200
2025-10-13,688472,7200
2025-10-14,301377,100
2025-10-14,300548,100
2025-10-14,600105,200
2025-10-14,688472,7200
2025-10-14,002222,500
2025-10-15,301377,100
2025-10-15,300548,100
2025-10-15,600105,200
2025-10-15,688472,7200
2025-10-15,000799,900
2025-10-16,301377,100
2025-10-16,300548,100
2025-10-16,600105,200
2025-10-16,688472,7200
2025-10-16,000799,900
2025-10-16,300115,1000
2025-10-20,301377,100
2025-10-20,300548,100
2025-10-20,600105,200
2025-10-20,688472,7200
2025-10-21,301377,100
2025-10-21,300548,100
2025-10-21,600105,200
2025-10-21,688472,7200
2025-10-21,600460,2700
2025-10-21,603228,500
2025-10-22,301377,100
2025-10-22,300548,100
2025-10-22,600105,200
2025-10-22,603228,500
2025-10-22,002938,1800
2025-10-22,601231,1400
2025-10-22,688629,300
2025-10-23,301377,100
2025-10-23,300548,100
2025-10-23,600105,200
2025-10-23,603228,500
2025-10-23,601231,1400
2025-10-24,301377,100
2025-10-24,300548,100
2025-10-24,600105,200
2025-10-24,603228,500
2025-10-24,601231,1400
2025-10-27,301377,100
2025-10-27,300548,100
2025-10-27,600105,200
2025-10-27,603228,500
2025-10-27,601231,1400
2025-10-27,688008,600
2025-10-27,688172,1200
2025-10-27,688249,500
2025-10-29,301377,100
2025-10-29,300548,100
2025-10-29,600105,200
2025-10-29,603228,500
2025-10-29,601231,1400
2025-10-29,688008,600
2025-10-29,688172,1200
2025-10-30,301377,100
2025-10-30,300548,100
2025-10-30,600105,200
2025-10-30,603228,500
2025-10-30,601231,1400
2025-10-30,688008,600
2025-10-30,688172,1200
2025-10-30,600732,1100
2025-11-06,301377,100
2025-11-06,300548,100
2025-11-06,600105,200
2025-11-06,603228,500
2025-11-06,601231,1400
2025-11-07,301377,100
2025-11-07,300548,100
2025-11-07,600105,200
2025-11-07,603228,500
2025-11-07,601231,1400
2025-11-07,002050,1800
2025-11-07,300395,300
2025-11-07,300857,100
2025-11-07,688313,100
2025-11-10,301377,100
2025-11-10,300548,100
2025-11-10,600105,200
2025-11-10,603228,500
2025-11-10,601231,1400
2025-11-10,688313,100
2025-11-11,301377,100
2025-11-11,300548,100
2025-11-11,600105,200
2025-11-11,603228,500
2025-11-11,601231,1400
2025-11-11,688313,100
2025-11-11,603083,700
2025-11-12,301377,100
2025-11-12,300548,100
2025-11-12,600105,200
2025-11-12,603228,500
2025-11-12,601231,1400
2025-11-12,688313,100
2025-11-13,301377,100
2025-11-13,300548,100
2025-11-13,600105,200
2025-11-13,603228,500
2025-11-13,601231,1400
2025-11-13,688313,100
2025-11-13,301217,2300
2025-11-14,301377,100
2025-11-14,300548,100
2025-11-14,600105,200
2025-11-14,603228,500
2025-11-14,601231,1400
2025-11-14,688313,100
2025-11-14,301217,2300
2025-11-14,920185,500
2025-11-17,301377,100
2025-11-17,300548,100
2025-11-17,600105,200
2025-11-17,603228,500
2025-11-17,601231,1400
2025-11-17,688313,100
2025-11-17,301217,2300
2025-11-17,920185,500
2025-11-17,002353,200
2025-11-18,301377,100
2025-11-18,300548,100
2025-11-18,600105,200
2025-11-18,603228,500
2025-11-18,601231,1400
2025-11-18,688313,100
2025-11-18,301217,2300
2025-11-19,301377,100
2025-11-19,300548,100
2025-11-19,600105,200
2025-11-19,603228,500
2025-11-19,601231,1400
2025-11-19,688313,100
2025-11-24,301377,100
2025-11-24,300548,100
2025-11-24,600105,200
2025-11-24,603228,500
2025-11-25,301377,100
2025-11-25,300548,100
2025-11-25,600105,200
2025-11-25,603228,500
2025-11-25,002371,100
2025-11-26,301377,100
2025-11-26,300548,100
2025-11-26,600105,200
2025-11-26,603228,500
2025-11-26,002371,100
2025-11-26,600516,10800
2025-11-26,688048,200
2025-11-27,301377,100
2025-11-27,300548,100
2025-11-27,600105,200
2025-11-27,603228,500
2025-11-27,002371,100
2025-11-27,688048,200
2025-11-27,300751,400
2025-11-28,301377,100
2025-11-28,300548,100
2025-11-28,600105,200
2025-11-28,603228,500
2025-11-28,002371,100
2025-11-28,688048,200
2025-11-28,300751,400
2025-12-01,301377,100
2025-12-01,300548,100
2025-12-01,600105,200
2025-12-01,603228,500
2025-12-01,002371,100
2025-12-01,688048,200
2025-12-01,300751,400
2025-12-01,301358,200
2025-12-08,301377,100
2025-12-08,300548,100
2025-12-08,600105,200
2025-12-08,603228,500
2025-12-08,002371,100
2025-12-08,688048,200
2025-12-08,300751,400
2025-12-09,301377,100
2025-12-09,300548,100
2025-12-09,600105,200
2025-12-09,603228,500
2025-12-09,002371,100
2025-12-09,688048,200
2025-12-09,300751,400
2025-12-09,300390,400
2025-12-17,301377,100
2025-12-17,300548,100
2025-12-17,600105,200
2025-12-17,603228,500
2025-12-17,002371,100
2025-12-17,688048,200
2025-12-17,300751,400
2025-12-17,300390,400
2025-12-18,301377,100
2025-12-18,300548,100
2025-12-18,600105,200
2025-12-18,603228,500
2025-12-18,002371,100
2025-12-18,688048,200
2025-12-18,300751,400
2025-12-18,002326,1000
2025-12-19,301377,100
2025-12-19,300548,100
2025-12-19,600105,200
2025-12-19,603228,500
2025-12-19,002371,100
2025-12-19,688048,200
2025-12-19,300751,400
2025-12-19,688110,200
2025-12-22,301377,100
2025-12-22,300548,100
2025-12-22,600105,200
2025-12-22,603228,500
2025-12-22,002371,100
2025-12-22,688048,200
2025-12-22,300751,400
2025-12-22,600515,3800
2025-12-23,301377,100
2025-12-23,300548,100
2025-12-23,600105,200
2025-12-23,603228,500
2025-12-23,002371,100
2025-12-23,688048,200
2025-12-23,300751,400
2025-12-23,600515,3800
2025-12-23,002384,100
2025-12-23,002812,100
2026-01-06,301377,100
2026-01-06,300548,100
2026-01-06,600105,200
2026-01-06,603228,500
2026-01-06,002371,100
2026-01-06,688048,200
2026-01-06,300751,400
2026-01-06,600515,3800
2026-01-06,002812,100
2026-01-07,301377,100
2026-01-07,300548,100
2026-01-07,600105,200
2026-01-07,603228,500
2026-01-07,002371,100
2026-01-07,688048,200
2026-01-07,300751,400
2026-01-07,600515,3800
2026-01-07,002812,100
2026-01-08,301377,100
2026-01-08,300548,100
2026-01-08,600105,200
2026-01-08,603228,500
2026-01-08,002371,100
2026-01-08,688048,200
2026-01-08,300751,400
2026-01-08,600515,3800
2026-01-08,002812,100
2026-01-09,301377,100
2026-01-09,300548,100
2026-01-09,600105,200
2026-01-09,603228,500
2026-01-09,002371,100
2026-01-09,688048,200
2026-01-09,300751,400
2026-01-09,600515,3800
2026-01-09,002812,100
2026-01-12,301377,100
2026-01-12,300548,100
2026-01-12,600105,200
2026-01-12,603228,500
2026-01-12,002371,100
2026-01-12,688048,200
2026-01-12,300751,400
2026-01-12,600515,3800
2026-01-12,002812,100
2026-01-14,301377,100
2026-01-14,300548,100
2026-01-14,600105,200
2026-01-14,603228,500
2026-01-14,002371,100
2026-01-14,688048,200
2026-01-14,300751,400
2026-01-14,002812,100
2026-01-15,301377,100
2026-01-15,300548,100
2026-01-15,600105,200
2026-01-15,603228,500
2026-01-15,002371,100
2026-01-15,688048,200
2026-01-15,300751,400
2026-01-15,002812,100
2026-01-16,301377,100
2026-01-16,300548,100
2026-01-16,600105,200
2026-01-16,603228,500
2026-01-16,002371,100
2026-01-16,688048,200
2026-01-16,300751,400
2026-01-16,002812,100
2026-01-16,002475,300
2026-01-19,301377,100
2026-01-19,300548,100
2026-01-19,600105,200
2026-01-19,603228,500
2026-01-19,002371,100
2026-01-19,688048,200
2026-01-19,300751,400
2026-01-19,002812,100
2026-01-19,002475,300
2026-01-20,301377,100
2026-01-20,300548,100
2026-01-20,600105,200
2026-01-20,002371,100
2026-01-20,688048,200
2026-01-20,300751,400
2026-01-20,002812,100
2026-01-20,002475,300
2026-01-20,600372,1900
2026-01-21,301377,100
2026-01-21,300548,100
2026-01-21,600105,200
2026-01-21,002371,100
2026-01-21,688048,200
2026-01-21,300751,400
2026-01-21,002812,100
2026-01-22,300548,100
2026-01-22,600105,200
2026-01-22,002371,100
2026-01-22,688048,200
2026-01-22,300751,400
2026-01-22,002812,100
2026-01-23,300548,100
2026-01-23,600105,200
2026-01-23,002371,100
2026-01-23,688048,200
2026-01-23,300751,400
2026-01-23,002812,100
2026-01-23,601698,1300
2026-01-23,601992,9400
2026-01-26,300548,100
2026-01-26,600105,200
2026-01-26,002371,100
2026-01-26,688048,200
2026-01-26,300751,400
2026-01-26,002812,100
2026-01-26,601992,9400
2026-01-26,688005,900
2026-01-26,688375,100
2026-01-26,688568,100
2026-01-27,300548,100
2026-01-27,600105,200
2026-01-27,002371,100
2026-01-27,688048,200
2026-01-27,300751,400
2026-01-27,002812,100
2026-01-28,300548,100
2026-01-28,600105,200
2026-01-28,002371,100
2026-01-28,688048,200
2026-01-28,300751,400
2026-01-28,002812,100
2026-01-29,300548,100
2026-01-29,600105,200
2026-01-29,002371,100
2026-01-29,688048,200
2026-01-29,300751,400
2026-01-30,300548,100
2026-01-30,600105,200
2026-01-30,002371,100
2026-01-30,688048,200
2026-01-30,300751,400
2026-02-02,300548,100
2026-02-02,600105,200
2026-02-02,002371,100
2026-02-02,688048,200
2026-02-02,300751,400
2026-02-03,300548,100
2026-02-03,600105,200
2026-02-03,002371,100
2026-02-03,688048,200
2026-02-03,300751,400
2026-02-03,601179,3400
2026-02-04,300548,100
2026-02-04,600105,200
2026-02-04,002371,100
2026-02-04,688048,200
2026-02-04,300751,400
2026-02-04,002273,2100
2026-02-04,300285,500
2026-02-04,300450,100
2026-02-04,600673,100
2026-02-04,601865,100
2026-02-04,600862,600
2026-02-05,300548,100
2026-02-05,600105,200
2026-02-05,002371,100
2026-02-05,688048,200
2026-02-05,300751,400
2026-02-05,002273,2100
2026-02-05,600862,600
2026-02-06,300548,100
2026-02-06,600105,200
2026-02-06,002371,100
2026-02-06,688048,200
