date,code,shares,buy_price,buy_date,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,weight
2026-02-04,601106,100,5.25,2026-02-04,5.29,529.0,3.84,0.73,3.51
2026-02-04,601126,200,31.8,2026-01-08,40.47,8094.0,1732.09,27.23,2.6999999999999997
2026-02-04,601336,200,79.3,2026-01-27,81.55,16310.0,445.24,2.81,2.6999999999999997
2026-02-04,601992,100,2.14,2026-02-04,2.12,212.0,-2.06,-0.96,8.424
2026-02-04,603317,600,13.12,2026-01-30,13.52,8112.0,237.64,3.02,2.6999999999999997
2026-02-05,000069,4000,2.78,2026-02-05,2.77,11080.0,-43.34,-0.39,3.51
2026-02-05,000657,900,30.0,2026-01-07,45.45,40905.0,13896.9,51.45,2.34
2026-02-05,002812,300,50.9,2026-02-02,52.22,15666.0,391.42,2.56,5.265
2026-02-05,601126,200,31.8,2026-01-08,36.42,7284.0,922.09,14.49,2.6999999999999997
2026-02-05,601336,200,79.3,2026-01-27,80.4,16080.0,215.24,1.36,2.6999999999999997
2026-02-05,601992,100,2.14,2026-02-04,2.1,210.0,-4.06,-1.9,8.424
2026-02-05,603317,600,13.12,2026-01-30,14.51,8706.0,831.64,10.56,2.6999999999999997
2026-02-06,000657,900,30.0,2026-01-07,47.93,43137.0,16128.9,59.72,2.34
2026-02-06,002812,300,50.9,2026-02-02,57.44,17232.0,1957.42,12.81,5.265
2026-02-06,601126,200,31.8,2026-01-08,35.62,7124.0,762.09,11.98,2.6999999999999997
2026-02-06,601336,200,79.3,2026-01-27,80.15,16030.0,165.24,1.04,2.6999999999999997
2026-02-06,601992,100,2.14,2026-02-04,2.1,210.0,-4.06,-1.9,8.424
2026-02-06,603317,600,13.12,2026-01-30,14.32,8592.0,717.64,9.11,2.6999999999999997
2026-02-09,000657,900,30.0,2026-01-07,47.29,42561.0,15552.9,57.59,2.34
2026-02-09,002812,300,50.9,2026-02-02,58.1,17430.0,2155.42,14.11,5.265
2026-02-09,600160,200,39.6,2026-02-09,39.53,7906.0,-16.38,-0.21,3.51
2026-02-09,601126,200,31.8,2026-01-08,36.71,7342.0,980.09,15.41,2.6999999999999997
2026-02-09,601336,200,79.3,2026-01-27,81.05,16210.0,345.24,2.18,2.6999999999999997
2026-02-09,601992,100,2.14,2026-02-04,2.16,216.0,1.94,0.9,8.424
2026-02-09,603317,600,13.12,2026-01-30,14.3,8580.0,705.64,8.96,2.6999999999999997
2026-02-10,000021,200,28.47,2026-02-10,28.69,5738.0,42.29,0.74,5.265
2026-02-10,000657,900,30.0,2026-01-07,47.61,42849.0,15840.9,58.65,2.34
2026-02-10,000831,100,55.0,2026-02-10,55.62,5562.0,60.35,1.1,3.51
2026-02-10,002812,300,50.9,2026-02-02,57.5,17250.0,1975.42,12.93,5.265
2026-02-10,600160,200,39.6,2026-02-09,39.87,7974.0,51.62,0.65,3.51
2026-02-10,601126,200,31.8,2026-01-08,38.68,7736.0,1374.09,21.6,2.6999999999999997
2026-02-10,601336,200,79.3,2026-01-27,80.34,16068.0,203.24,1.28,2.6999999999999997
2026-02-10,601992,100,2.14,2026-02-04,2.1,210.0,-4.06,-1.9,8.424
2026-02-10,603317,600,13.12,2026-01-30,13.87,8322.0,447.64,5.68,2.6999999999999997
2026-02-11,000657,900,30.0,2026-01-07,52.37,47133.0,20124.9,74.51,2.34
2026-02-11,000831,100,55.0,2026-02-10,56.6,5660.0,158.35,2.88,3.51
2026-02-11,002812,300,50.9,2026-02-02,60.93,18279.0,3004.42,19.67,5.265
2026-02-11,600160,200,39.6,2026-02-09,39.92,7984.0,61.62,0.78,3.51
2026-02-11,601126,200,31.8,2026-01-08,38.89,7778.0,1416.09,22.26,2.6999999999999997
2026-02-11,603317,600,13.12,2026-01-30,13.72,8232.0,357.64,4.54,2.6999999999999997
2026-02-12,000657,900,30.0,2026-01-07,55.33,49797.0,22788.9,84.38,2.34
2026-02-12,000831,100,55.0,2026-02-10,58.36,5836.0,334.35,6.08,3.51
2026-02-12,002812,300,50.9,2026-02-02,61.5,18450.0,3175.42,20.79,5.265
2026-02-12,600160,200,39.6,2026-02-09,39.81,7962.0,39.62,0.5,3.51
2026-02-12,601126,200,31.8,2026-01-08,42.78,8556.0,2194.09,34.49,2.6999999999999997
2026-02-12,603317,600,13.12,2026-01-30,13.45,8070.0,195.64,2.48,2.6999999999999997
2026-02-12,603568,400,27.58,2026-02-12,27.79,11116.0,80.69,0.73,3.51
2026-02-13,000657,900,30.0,2026-01-07,52.41,47169.0,20160.9,74.65,2.34
2026-02-13,000831,100,55.0,2026-02-10,55.82,5582.0,80.35,1.46,3.51
2026-02-13,002131,1300,9.0,2026-02-13,8.96,11648.0,-55.51,-0.47,7.02
2026-02-13,002812,300,50.9,2026-02-02,64.5,19350.0,4075.42,26.68,5.265
2026-02-13,601126,200,31.8,2026-01-08,41.4,8280.0,1918.09,30.15,2.6999999999999997
2026-02-13,603317,600,13.12,2026-01-30,13.3,7980.0,105.64,1.34,2.6999999999999997
2026-02-13,603568,400,27.58,2026-02-12,27.66,11064.0,28.69,0.26,3.51
2026-02-24,000657,900,30.0,2026-01-07,53.48,48132.0,21123.9,78.21,2.34
2026-02-24,000831,100,55.0,2026-02-10,57.8,5780.0,278.35,5.06,3.51
2026-02-24,002131,1300,9.0,2026-02-13,9.12,11856.0,152.49,1.3,7.02
2026-02-24,002812,300,50.9,2026-02-02,66.31,19893.0,4618.42,30.24,5.265
2026-02-24,601126,200,31.8,2026-01-08,43.4,8680.0,2318.09,36.44,2.6999999999999997
2026-02-24,603317,600,13.12,2026-01-30,13.34,8004.0,129.64,1.65,2.6999999999999997
2026-02-24,603568,400,27.58,2026-02-12,28.2,11280.0,244.69,2.22,3.51
2026-02-25,000100,900,4.78,2026-02-25,4.86,4374.0,70.71,1.64,5.265
2026-02-25,000657,900,30.0,2026-01-07,58.83,52947.0,25938.9,96.04,2.34
2026-02-25,000831,100,55.0,2026-02-10,62.71,6271.0,769.35,13.98,3.51
2026-02-25,002131,1300,9.0,2026-02-13,9.34,12142.0,438.49,3.75,7.02
2026-02-25,002812,300,50.9,2026-02-02,65.66,19698.0,4423.42,28.96,5.265
2026-02-25,601126,200,31.8,2026-01-08,42.22,8444.0,2082.09,32.73,2.6999999999999997
2026-02-25,601212,100,10.65,2026-02-25,10.72,1072.0,6.68,0.63,8.775
2026-02-25,603317,600,13.12,2026-01-30,13.23,7938.0,63.64,0.81,2.6999999999999997
2026-02-25,603568,400,27.58,2026-02-12,28.26,11304.0,268.69,2.43,3.51
2026-02-26,000100,900,4.78,2026-02-25,4.82,4338.0,34.71,0.81,5.265
2026-02-26,000657,900,30.0,2026-01-07,60.2,54180.0,27171.9,100.61,2.34
2026-02-26,000831,100,55.0,2026-02-10,60.33,6033.0,531.35,9.66,3.51
2026-02-26,002131,1300,9.0,2026-02-13,9.34,12142.0,438.49,3.75,7.02
2026-02-26,002812,300,50.9,2026-02-02,62.49,18747.0,3472.42,22.73,5.265
2026-02-26,601126,200,31.8,2026-01-08,44.88,8976.0,2614.09,41.09,2.6999999999999997
2026-02-26,601212,100,10.65,2026-02-25,10.47,1047.0,-18.32,-1.72,8.775
2026-02-26,603317,600,13.12,2026-01-30,13.29,7974.0,99.64,1.27,2.6999999999999997
2026-02-26,603568,400,27.58,2026-02-12,27.97,11188.0,152.69,1.38,3.51
2026-02-27,000100,900,4.78,2026-02-25,4.97,4473.0,169.71,3.94,5.265
2026-02-27,000657,900,30.0,2026-01-07,66.22,59598.0,32589.9,120.67,2.34
2026-02-27,000831,100,55.0,2026-02-10,64.98,6498.0,996.35,18.11,3.51
2026-02-27,002131,1300,9.0,2026-02-13,9.63,12519.0,815.49,6.97,7.02
2026-02-27,002812,300,50.9,2026-02-02,61.93,18579.0,3304.42,21.63,5.265
2026-02-27,601126,200,31.8,2026-01-08,44.79,8958.0,2596.09,40.81,2.6999999999999997
2026-02-27,601212,100,10.65,2026-02-25,10.7,1070.0,4.68,0.44,8.775
2026-02-27,603317,600,13.12,2026-01-30,13.42,8052.0,177.64,2.26,2.6999999999999997
2026-02-27,603568,400,27.58,2026-02-12,28.16,11264.0,228.69,2.07,3.51
2026-03-05,000100,900,4.78,2026-02-25,4.98,4482.0,178.71,4.15,5.265
2026-03-05,000657,900,30.0,2026-01-07,64.37,57933.0,30924.9,114.5,2.34
2026-03-05,000831,100,55.0,2026-02-10,58.38,5838.0,336.35,6.11,3.51
2026-03-05,002812,300,50.9,2026-02-02,61.56,18468.0,3193.42,20.91,5.265
2026-03-05,601126,200,31.8,2026-01-08,52.19,10438.0,4076.09,64.07,2.6999999999999997
2026-03-05,603568,400,27.58,2026-02-12,27.98,11192.0,156.69,1.42,3.51
2026-03-06,000100,900,4.78,2026-02-25,4.84,4356.0,52.71,1.22,5.265
2026-03-06,000338,500,27.45,2026-03-06,28.16,14080.0,350.88,2.56,4.05
2026-03-06,000657,900,30.0,2026-01-07,65.66,59094.0,32085.9,118.8,2.34
2026-03-06,000831,100,55.0,2026-02-10,57.5,5750.0,248.35,4.51,3.51
2026-03-06,002195,400,10.77,2026-03-06,10.76,4304.0,-5.29,-0.12,10.53
2026-03-06,002812,300,50.9,2026-02-02,61.25,18375.0,3100.42,20.3,5.265
2026-03-06,601126,200,31.8,2026-01-08,52.95,10590.0,4228.09,66.46,2.6999999999999997
2026-03-06,603568,400,27.58,2026-02-12,28.65,11460.0,424.69,3.85,3.51
2026-03-09,000657,900,30.0,2026-01-07,65.11,58599.0,31590.9,116.97,2.34
2026-03-09,000831,100,55.0,2026-02-10,57.34,5734.0,232.35,4.22,3.51
2026-03-09,002812,300,50.9,2026-02-02,65.65,19695.0,4420.42,28.94,5.265
2026-03-09,601126,200,31.8,2026-01-08,53.2,10640.0,4278.09,67.25,2.6999999999999997
2026-03-09,603568,400,27.58,2026-02-12,27.68,11072.0,36.69,0.33,3.51
2026-03-10,000657,900,30.0,2026-01-07,66.46,59814.0,32805.9,121.47,2.34
2026-03-10,000831,100,55.0,2026-02-10,57.45,5745.0,243.35,4.42,3.51
2026-03-10,002812,300,50.9,2026-02-02,66.39,19917.0,4642.42,30.39,5.265
2026-03-10,601126,200,31.8,2026-01-08,51.24,10248.0,3886.09,61.08,2.6999999999999997
2026-03-10,603568,400,27.58,2026-02-12,28.26,11304.0,268.69,2.43,3.51
2026-03-11,000657,900,30.0,2026-01-07,62.85,56565.0,29556.9,109.44,2.34
2026-03-11,002812,300,50.9,2026-02-02,69.74,20922.0,5647.42,36.97,5.265
2026-03-11,600105,700,28.2,2026-03-11,28.47,19929.0,183.08,0.93,5.265
2026-03-11,601126,200,31.8,2026-01-08,49.9,9980.0,3618.09,56.87,2.6999999999999997
2026-03-11,601208,100,31.6,2026-03-11,32.03,3203.0,42.05,1.33,3.375
2026-03-11,603256,100,73.55,2026-03-11,73.06,7306.0,-51.21,-0.7,3.6854999999999998
2026-03-11,603568,400,27.58,2026-02-12,27.77,11108.0,72.69,0.66,3.51
2026-03-12,000657,900,30.0,2026-01-07,62.3,56070.0,29061.9,107.6,2.34
2026-03-12,000703,1300,13.09,2026-03-12,12.48,16224.0,-798.11,-4.69,5.3999999999999995
2026-03-12,002812,300,50.9,2026-02-02,70.89,21267.0,5992.42,39.23,5.265
2026-03-12,601126,200,31.8,2026-01-08,49.18,9836.0,3474.09,54.61,2.6999999999999997
2026-03-12,601208,100,31.6,2026-03-11,31.96,3196.0,35.05,1.11,3.375
2026-03-12,603568,400,27.58,2026-02-12,27.49,10996.0,-39.31,-0.36,3.51
2026-03-13,000657,900,30.0,2026-01-07,56.07,50463.0,23454.9,86.84,2.34
2026-03-13,002812,300,50.9,2026-02-02,72.99,21897.0,6622.42,43.36,5.265
2026-03-13,601126,200,31.8,2026-01-08,46.73,9346.0,2984.09,46.91,2.6999999999999997
2026-03-13,601208,100,31.6,2026-03-11,33.19,3319.0,158.05,5.0,3.375
2026-03-13,601969,1200,13.6,2026-03-13,13.56,16272.0,-52.9,-0.32,8.1
2026-03-13,603568,400,27.58,2026-02-12,28.83,11532.0,496.69,4.5,3.51
2026-03-16,000657,900,30.0,2026-01-07,55.19,49671.0,22662.9,83.91,2.34
