action,date,code,price,shares,cost,weight,regime,pnl,pnl_pct,reason,proceeds
SELL,2026-04-01,002378,31.49,200,,,,-244.15,-3.74,sig_close(T+2),6289.81
SELL,2026-04-02,601126,41.59,900,,,,8753.75,30.58,yellow(T+54),37382.34
BUY,2026-04-02,600026,23.14,1600,37035.11,4.914,normal,,,,
BUY,2026-04-02,600875,37.71,300,11316.39,10.53,normal,,,,
SELL,2026-04-07,600875,34.82,300,,,,-883.97,-7.81,candle_normal(T+2),10432.42
BUY,2026-04-08,002378,32.0,200,6401.92,2.457,normal,,,,
BUY,2026-04-09,000547,27.18,200,5437.63,5.265,normal,,,,
BUY,2026-04-09,601126,43.0,100,4301.29,6.75,normal,,,,
BUY,2026-04-09,601179,15.7,100,1570.47,5.265,normal,,,,
SELL,2026-04-10,000547,26.49,200,,,,-146.52,-2.69,candle_normal(T+1),5291.11
SELL,2026-04-10,601126,43.65,100,,,,58.04,1.35,sig_close(T+1),4359.33
SELL,2026-04-13,600026,22.93,1600,,,,-394.8,-1.07,candle_normal(T+6),36640.31
SELL,2026-04-13,601179,15.82,100,,,,9.47,0.6,sig_close(T+2),1579.94
BUY,2026-04-13,000973,17.94,1500,26918.07,3.51,normal,,,,
SELL,2026-04-15,002378,30.14,200,,,,-381.76,-5.96,candle_normal(T+5),6020.16
SELL,2026-04-16,000973,17.29,1500,,,,-1016.79,-3.78,candle_normal(T+3),25901.28
BUY,2026-04-16,002294,66.4,400,26567.97,3.1499999999999995,normal,,,,
BUY,2026-04-16,002422,35.35,100,3536.06,1.2,normal,,,,
BUY,2026-04-16,600295,14.9,1000,14904.47,4.725,normal,,,,
SELL,2026-04-16,002422,35.92,100,,,,51.27,1.45,rotate,3587.33
BUY,2026-04-16,603268,117.75,100,11778.53,2.6999999999999997,normal,,,,
SELL,2026-04-17,002294,58.75,400,,,,-3098.52,-11.66,candle_normal(T+1),23469.45
SELL,2026-04-20,600295,14.8,1000,,,,-123.71,-0.83,candle_normal(T+2),14780.76
BUY,2026-04-20,000973,18.01,400,7206.16,1.2599999999999998,normal,,,,
BUY,2026-04-27,002756,78.5,200,15704.71,4.5,normal,,,,
SELL,2026-04-27,000973,19.72,400,,,,671.58,9.32,rotate,7877.75
BUY,2026-04-27,002821,116.88,100,11691.51,2.9250000000000003,normal,,,,
SELL,2026-04-28,002756,76.18,200,,,,-488.52,-3.11,candle_normal(T+1),15216.19
BUY,2026-04-30,000831,54.35,300,16309.89,5.8500000000000005,normal,,,,
BUY,2026-04-30,002378,32.8,200,6561.97,4.5,normal,,,,
BUY,2026-04-30,600392,26.19,100,2619.79,7.02,normal,,,,
SELL,2026-05-07,002812,85.31,500,,,,17141.91,67.34,final_clear,42599.55
SELL,2026-05-07,000703,16.41,700,,,,2866.49,33.31,final_clear,11472.07
SELL,2026-05-07,600487,75.96,100,,,,2976.74,64.58,final_clear,7586.13
SELL,2026-05-07,603268,149.55,100,,,,3157.03,26.8,final_clear,14935.56
SELL,2026-05-07,002821,128.08,100,,,,1099.84,9.41,final_clear,12791.35
SELL,2026-05-07,000831,55.59,300,,,,345.43,2.12,final_clear,16655.32
SELL,2026-05-07,002378,34.54,200,,,,337.05,5.14,final_clear,6899.02
SELL,2026-05-07,600392,26.92,100,,,,68.71,2.62,final_clear,2688.5
