date,close_sh,amount_sh,amount_sz,amount_total
2023-07-07,3196.6092,313607453200.0,486094877400.0,799702330600.0
2023-07-10,3203.6958,311462495600.0,449784877200.0,761247372800.0
2023-07-11,3221.3666,309950254700.0,463515203000.0,773465457700.0
2023-07-12,3196.1337,365433182300.0,546420224900.0,911853407200.0
2023-07-13,3236.48,373242517800.0,547542679700.00006,920785197500.0
2023-07-14,3237.7012,368337829100.0,554228056000.0,922565885100.0
2023-07-17,3209.6298,322074497100.0,480497000100.0,802571497200.0
2023-07-18,3197.8201,307331649300.0,469777623600.0,777109272900.0
2023-07-19,3198.8358,281206091200.0,421242032800.0,702448124000.0
2023-07-20,3169.522,302376024100.0,483235253700.0,785611277800.0
2023-07-21,3167.7452,280673190400.0,430277669400.0,710950859800.0
2023-07-24,3164.1608,260119088900.0,398795431800.0,658914520700.0
2023-07-25,3231.5213,410846601100.0,537269565700.00006,948116166800.0
2023-07-26,3223.0279,328306929400.0,463845096800.0,792152026200.0
2023-07-27,3216.6709,332145068300.0,447863377000.0,780008445300.0
2023-07-28,3275.9257,436923617400.0,511355319600.0,948278937000.0
2023-07-31,3291.0398,511505348400.0,593689024800.0,1105194373200.0
2023-08-01,3290.9493,441023318600.0,515654864800.0,956678183400.0
2023-08-02,3261.6903,388952704000.0,447062408000.0,836015112000.0
2023-08-03,3280.4626,389530672000.0,443344550600.0,832875222600.0
2023-08-04,3288.0842,497188089400.0,551972087000.0,1049160176400.0
2023-08-07,3268.8311,393056934200.0,497019702500.0,890076636700.0
2023-08-08,3260.6196,355750325300.0,443144463000.0,798894788300.0
2023-08-09,3244.4867,309778299600.0,426798581800.0,736576881400.0
2023-08-10,3254.5597,307263291700.0,386871601700.0,694134893400.0
2023-08-11,3189.248,339187129800.0,424303880900.0,763491010700.0
2023-08-14,3178.4272,322632054400.0,419328589700.0,741960644100.0
2023-08-15,3176.1758,300827985400.0,405668296600.0,706496282000.0
2023-08-16,3150.1277,303611332600.0,400622307600.0,704233640200.0
2023-08-17,3163.7393,320785474100.0,419033826000.0,739819300100.0
2023-08-18,3131.953,320449006900.0,424224876300.0,744673883200.0
2023-08-21,3092.9777,293721061600.0,384541011600.0,678262073200.0
2023-08-22,3120.3338,348637687600.0,469741718300.0,818379405900.0
2023-08-23,3078.4021,297986364400.0,407929683800.0,705916048200.0
2023-08-24,3082.2439,332447831300.0,453283452500.0,785731283800.0
2023-08-25,3064.0747,317757173400.0,448534888100.0,766292061500.0
2023-08-28,3098.6363,517234120900.0,609414535400.0,1126648656300.0
2023-08-29,3135.8867,443979437000.0,593126465600.0,1037105902600.0
2023-08-30,3137.1375,414729469600.0,569619933000.0,984349402600.0
2023-08-31,3119.8764,362507128800.0,466692822700.0,829199951500.0
2023-09-01,3133.2467,334739632900.0,410622387800.0,745362020700.0
2023-09-04,3177.0603,404500273000.0,480361264700.0,884861537700.0
2023-09-05,3154.3693,342760613400.0,461095800900.0,803856414300.0
2023-09-06,3158.0769,324001129700.0,447278746800.0,771279876500.0
2023-09-07,3122.3523,317186963300.0,449647709400.0,766834672700.0
2023-09-08,3116.7191,270006714900.0,411802523000.0,681809237900.0
2023-09-11,3142.779,351883736000.0,489275538000.0,841159274000.0
2023-09-12,3137.0593,281897501800.0,426410705000.0,708308206800.0
2023-09-13,3123.0669,282015557200.0,416172855900.0,698188413100.0
2023-09-14,3126.5511,281641855500.0,384223741400.0,665865596900.0
2023-09-15,3117.7434,326091455900.0,395642647100.0,721734103000.0
2023-09-18,3125.9319,299644725400.0,398900705800.0,698545431200.0
2023-09-19,3124.9567,274062664400.0,360902289100.0,634964953500.0
2023-09-20,3108.5679,243019998700.0,330242547900.0,573262546600.0
2023-09-21,3084.701,243536277500.0,335490145900.0,579026423400.0
2023-09-22,3132.4316,321443778900.0,444014591100.0,765458370000.0
2023-09-25,3115.6071,294635829600.0,423275869400.0,717911699000.0
2023-09-26,3102.2726,270006131000.0,395614576900.0,665620707900.0
2023-09-27,3107.3156,293421022400.0,423112882600.0,716533905000.0
2023-09-28,3110.4753,288396222800.0,428793641100.0,717189863900.0
2023-10-09,3096.9224,302662162100.0,467325974800.0,769988136900.0
2023-10-10,3075.2361,293653291700.0,481015828300.0,774669120000.0
2023-10-11,3078.9556,326562386200.0,512172676800.0,838735063000.0
2023-10-12,3107.9007,325865894400.0,505430977000.0,831296871400.0
